#ctg	length	repeat_bundle_count	repeat_bundle_sum	repeat_bundle_percentage	repeat_bundle_mean	repeat_bundle_min	repeat_bundle_max	non_repeat_bundle_count	non_repeat_bundle_sum	non_repeat_bundle_percentage	non_repeat_bundle_mean	non_repeat_bundle_min	non_repeat_bundle_max	total_bundle_count	total_bundle_coverage_percentage
HG02841#2#classII	638735	0	0	0	NA	NA	NA	261	510974	79.99781	1957.7548	503	46103	261	79.99781
HG02886#1#classII	529560	0	0	0	NA	NA	NA	205	402380	75.98383	1962.8292	503	46184	205	75.98383
HG02886#2#classII	641857	0	0	0	NA	NA	NA	259	513661	80.02733	1983.2471	501	46100	259	80.02733
HG02922#1#classII	530711	0	0	0	NA	NA	NA	218	413986	78.00592	1899.0183	503	46188	218	78.00592
HG02922#2#classII	465640	0	0	0	NA	NA	NA	165	349389	75.03415	2117.509	503	46182	165	75.03415
HG02965#1#classII	529553	0	0	0	NA	NA	NA	205	402274	75.96482	1962.3123	503	46183	205	75.96482
HG02965#2#classII	465659	0	0	0	NA	NA	NA	165	349513	75.05772	2118.2605	503	46182	165	75.05772
HG02976#1#classII	553540	0	0	0	NA	NA	NA	242	456779	82.5196	1887.5165	503	46092	242	82.5196
HG02976#2#classII	530331	0	0	0	NA	NA	NA	219	410576	77.41882	1874.7762	503	46103	219	77.41882
HG02984#1#classII	532259	0	0	0	NA	NA	NA	192	400044	75.15965	2083.5625	503	46181	192	75.15965
HG02984#2#classII	543483	0	0	0	NA	NA	NA	208	416073	76.55676	2000.351	504	46183	208	76.55676
HG03017#1#classII	466544	0	0	0	NA	NA	NA	163	341796	73.26126	2096.908	503	46181	163	73.26126
HG03017#2#classII	554312	0	0	0	NA	NA	NA	228	450363	81.2472	1975.2764	503	46177	228	81.2472
HG03041#1#classII	465663	0	0	0	NA	NA	NA	165	349198	74.989426	2116.3516	503	46182	165	74.989426
HG03041#2#classII	553865	0	0	0	NA	NA	NA	241	455331	82.20975	1889.3402	503	46181	241	82.20975
HG03050#1#classII	642300	0	0	0	NA	NA	NA	257	508364	79.14744	1978.0701	503	46186	257	79.14744
HG03050#2#classII	529550	0	0	0	NA	NA	NA	205	402383	75.98584	1962.8439	503	46184	205	75.98584
HG03098#1#classII	642924	0	0	0	NA	NA	NA	261	516210	80.290985	1977.816	502	46105	261	80.290985
HG03098#2#classII	638718	0	0	0	NA	NA	NA	268	520669	81.51782	1942.7948	503	46182	268	81.51782
HG03130#1#classII	537625	0	0	0	NA	NA	NA	222	418761	77.89091	1886.3108	502	46101	222	77.89091
HG03130#2#classII	533324	0	0	0	NA	NA	NA	207	410229	76.91928	1981.7826	503	46104	207	76.91928
HG03139#1#classII	465917	0	0	0	NA	NA	NA	166	351376	75.41601	2116.723	503	46184	166	75.41601
HG03139#2#classII	540201	0	0	0	NA	NA	NA	227	432008	79.97172	1903.1189	503	46105	227	79.97172
HG03195#1#classII	537651	0	0	0	NA	NA	NA	222	418845	77.90276	1886.6892	502	46185	222	77.90276
HG03195#2#classII	553543	0	0	0	NA	NA	NA	242	456995	82.558174	1888.409	503	46092	242	82.558174
HG03209#1#classII	638704	0	0	0	NA	NA	NA	268	520662	81.51851	1942.7687	503	46183	268	81.51851
HG03209#2#classII	469264	0	0	0	NA	NA	NA	178	356941	76.064	2005.2865	503	46176	178	76.064
HG03225#1#classII	528610	0	0	0	NA	NA	NA	223	413833	78.28702	1855.7534	502	46190	223	78.28702
HG03225#2#classII	536525	0	0	0	NA	NA	NA	219	416008	77.53748	1899.58	502	46181	219	77.53748
HG03239#1#classII	638246	0	0	0	NA	NA	NA	261	519998	81.47298	1992.3295	503	46182	261	81.47298
HG03239#2#classII	648381	0	0	0	NA	NA	NA	278	528769	81.55221	1902.0468	503	46164	278	81.55221
HG03270#1#classII	553543	0	0	0	NA	NA	NA	242	457084	82.57426	1888.7769	503	46178	242	82.57426
HG03270#2#classII	529021	0	0	0	NA	NA	NA	214	409346	77.37802	1912.8318	503	46107	214	77.37802
HG03369#1#classII	533026	0	0	0	NA	NA	NA	180	384759	72.18391	2137.55	503	46094	180	72.18391
HG03369#2#classII	533240	0	0	0	NA	NA	NA	209	399116	74.84735	1909.6459	501	46184	209	74.84735
HG03453#1#classII	642564	0	0	0	NA	NA	NA	258	511965	79.67533	1984.3605	503	46104	258	79.67533
HG03453#2#classII	524950	0	0	0	NA	NA	NA	225	413385	78.7475	1837.2667	501	46180	225	78.7475
HG03470#1#classII	650119	0	0	0	NA	NA	NA	270	513241	78.9457	1900.8926	503	46182	270	78.9457
HG03470#2#classII	536894	0	0	0	NA	NA	NA	220	425532	79.2581	1934.2363	502	46175	220	79.2581
HG03471#1#classII	648198	0	0	0	NA	NA	NA	277	520934	80.36649	1880.6282	503	46107	277	80.36649
HG03471#2#classII	529548	0	0	0	NA	NA	NA	205	402379	75.98537	1962.8243	503	46185	205	75.98537
HG03486#1#classII	529552	0	0	0	NA	NA	NA	205	402383	75.98555	1962.8439	503	46184	205	75.98555
HG03486#2#classII	530141	0	0	0	NA	NA	NA	200	389603	73.49045	1948.015	503	46184	200	73.49045
HG03516#1#classII	529821	0	0	0	NA	NA	NA	215	413149	77.97898	1921.6233	503	46179	215	77.97898
HG03516#2#classII	533223	0	0	0	NA	NA	NA	209	399039	74.8353	1909.2775	501	46107	209	74.8353
HG03521#1#classII	529248	0	0	0	NA	NA	NA	215	402384	76.02939	1871.5535	503	46178	215	76.02939
HG03521#2#classII	540759	0	0	0	NA	NA	NA	216	410856	75.97765	1902.1111	503	46182	216	75.97765
HG03540#1#classII	542041	0	0	0	NA	NA	NA	209	422376	77.923256	2020.9377	504	46101	209	77.923256
HG03540#2#classII	466695	0	0	0	NA	NA	NA	169	353488	75.74283	2091.645	503	46106	169	75.74283
HG03579#1#classII	529544	0	0	0	NA	NA	NA	205	402374	75.985	1962.8	503	46184	205	75.985
HG03579#2#classII	529548	0	0	0	NA	NA	NA	205	402378	75.985176	1962.8195	503	46184	205	75.985176
HG03583#1#classII	643253	0	0	0	NA	NA	NA	253	506318	78.712105	2001.257	503	46179	253	78.712105
HG03583#2#classII	472854	0	0	0	NA	NA	NA	156	340103	71.92558	2180.1475	503	46192	156	71.92558
HG03654#1#classII	528987	0	0	0	NA	NA	NA	206	406354	76.81739	1972.5923	503	46162	206	76.81739
HG03654#2#classII	524473	0	0	0	NA	NA	NA	221	413202	78.784225	1869.6923	501	46107	221	78.784225
HG03669#1#classII	554034	0	0	0	NA	NA	NA	221	443269	80.007545	2005.7421	503	46178	221	80.007545
HG03669#2#classII	637982	0	0	0	NA	NA	NA	261	516947	81.028465	1980.6399	501	46179	261	81.028465
HG03688#1#classII	637626	0	0	0	NA	NA	NA	261	519874	81.532745	1991.8544	503	46180	261	81.532745
HG03688#2#classII	554585	0	0	0	NA	NA	NA	229	452318	81.55972	1975.1877	503	46094	229	81.55972
HG03704#1#classII	531841	0	0	0	NA	NA	NA	207	397300	74.702774	1919.3237	501	46181	207	74.702774
HG03704#2#classII	647890	0	0	0	NA	NA	NA	278	537845	83.01486	1934.6942	503	46179	278	83.01486
HG03710#1#classII	648689	0	0	0	NA	NA	NA	280	528708	81.50408	1888.2428	503	46178	280	81.50408
HG03710#2#classII	528237	0	0	0	NA	NA	NA	204	400694	75.854965	1964.1863	501	46179	204	75.854965
HG03742#1#classII	638790	0	0	0	NA	NA	NA	264	519091	81.261604	1966.2538	503	46113	264	81.261604
HG03742#2#classII	542537	0	0	0	NA	NA	NA	209	420127	77.437485	2010.177	504	46182	209	77.437485
HG03784#1#classII	528423	0	0	0	NA	NA	NA	201	403856	76.42665	2009.2339	502	46178	201	76.42665
HG03784#2#classII	528434	0	0	0	NA	NA	NA	205	403086	76.27934	1966.2732	501	46180	205	76.27934
HG03804#1#classII	554926	0	0	0	NA	NA	NA	236	459814	82.86042	1948.3644	503	46104	236	82.86042
HG03804#2#classII	555268	0	0	0	NA	NA	NA	230	459573	82.765976	1998.1434	503	46166	230	82.765976
HG03816#1#classII	648674	0	0	0	NA	NA	NA	279	528124	81.41593	1892.9176	503	46184	279	81.41593
HG03816#2#classII	537042	0	0	0	NA	NA	NA	222	429467	79.96898	1934.536	502	46184	222	79.96898
HG03831#1#classII	555486	0	0	0	NA	NA	NA	233	462687	83.29409	1985.7811	503	46181	233	83.29409
HG03831#2#classII	554077	0	0	0	NA	NA	NA	219	442109	79.79198	2018.7626	503	46180	219	79.79198
HG03834#1#classII	647623	0	0	0	NA	NA	NA	279	530712	81.94768	1902.1936	503	46176	279	81.94768
HG03834#2#classII	537041	0	0	0	NA	NA	NA	222	429467	79.969124	1934.536	502	46183	222	79.969124
HG03874#1#classII	522311	0	0	0	NA	NA	NA	212	413823	79.22923	1951.9952	502	46180	212	79.22923
HG03874#2#classII	647870	0	0	0	NA	NA	NA	278	537824	83.01418	1934.6187	503	46180	278	83.01418
HG03927#1#classII	528440	0	0	0	NA	NA	NA	205	403091	76.27943	1966.2976	501	46181	205	76.27943
HG03927#2#classII	647884	0	0	0	NA	NA	NA	278	537722	82.99665	1934.2518	503	46180	278	82.99665
HG03942#1#classII	554593	0	0	0	NA	NA	NA	229	452476	81.587036	1975.8777	503	46179	229	81.587036
HG03942#2#classII	554595	0	0	0	NA	NA	NA	229	452478	81.587105	1975.8865	503	46181	229	81.587105
HG04115#1#classII	542091	0	0	0	NA	NA	NA	208	422661	77.96864	2032.024	504	46181	208	77.96864
HG04115#2#classII	647865	0	0	0	NA	NA	NA	278	537816	83.01359	1934.59	503	46179	278	83.01359
HG04157#1#classII	647494	0	0	0	NA	NA	NA	278	530066	81.864235	1906.7123	503	46179	278	81.864235
HG04157#2#classII	555250	0	0	0	NA	NA	NA	224	450020	81.04818	2009.0178	503	46176	224	81.04818
HG04160#1#classII	541685	0	0	0	NA	NA	NA	206	423986	78.27169	2058.1846	504	46181	206	78.27169
HG04160#2#classII	555270	0	0	0	NA	NA	NA	231	460411	82.916595	1993.1212	503	46180	231	82.916595
HG04184#1#classII	647878	0	0	0	NA	NA	NA	278	537828	83.01378	1934.633	503	46179	278	83.01378
HG04184#2#classII	648652	0	0	0	NA	NA	NA	280	528619	81.49501	1887.925	503	46183	280	81.49501
HG04187#1#classII	524465	0	0	0	NA	NA	NA	221	413195	78.784096	1869.6606	501	46107	221	78.784096
HG04187#2#classII	522350	0	0	0	NA	NA	NA	214	415851	79.611565	1943.229	502	46179	214	79.611565
HG04199#1#classII	638663	0	0	0	NA	NA	NA	266	519555	81.35042	1953.2142	503	46177	266	81.35042
HG04199#2#classII	536278	0	0	0	NA	NA	NA	216	419320	78.19079	1941.2963	502	46180	216	78.19079
HG04204#1#classII	554054	0	0	0	NA	NA	NA	220	442438	79.85467	2011.0818	503	46181	220	79.85467
HG04204#2#classII	648669	0	0	0	NA	NA	NA	280	528680	81.50227	1888.1428	503	46166	280	81.50227
HG04228#1#classII	553749	0	0	0	NA	NA	NA	243	455903	82.33026	1876.144	503	46183	243	82.33026
HG04228#2#classII	553992	0	0	0	NA	NA	NA	227	449399	81.120125	1979.7313	503	46181	227	81.120125
HG06807#1#classII	553809	0	0	0	NA	NA	NA	243	456036	82.34536	1876.6914	503	46182	243	82.34536
HG06807#2#classII	552712	0	0	0	NA	NA	NA	238	449937	81.40533	1890.4916	503	46179	238	81.40533
HIFI032007D#1#classII	526002	0	0	0	NA	NA	NA	189	389725	74.09193	2062.037	503	46180	189	74.09193
HIFI032007D#2#classII	525810	0	0	0	NA	NA	NA	187	387281	73.654175	2071.0215	503	46178	187	73.654175
HIFI032018D#1#classII	525798	0	0	0	NA	NA	NA	184	384763	73.17696	2091.1033	503	46180	184	73.17696
HIFI032018D#2#classII	638274	0	0	0	NA	NA	NA	258	512342	80.26991	1985.8217	503	46183	258	80.26991
HIFI032069D#1#classII	525109	0	0	0	NA	NA	NA	184	384421	73.20785	2089.2446	502	46176	184	73.20785
HIFI032069D#2#classII	556560	0	0	0	NA	NA	NA	224	450949	81.02433	2013.1652	503	46179	224	81.02433
HIFI032097D#1#classII	530240	0	0	0	NA	NA	NA	202	393100	74.13624	1946.0396	503	46174	202	74.13624
HIFI032097D#2#classII	554147	0	0	0	NA	NA	NA	233	451345	81.44861	1937.103	502	46178	233	81.44861
HIFI032103D#1#classII	542472	0	0	0	NA	NA	NA	208	426591	78.63834	2050.9182	504	46176	208	78.63834
HIFI032103D#2#classII	638281	0	0	0	NA	NA	NA	260	516742	80.95839	1987.4692	503	46181	260	80.95839
HIFI032161D#1#classII	526455	0	0	0	NA	NA	NA	188	384537	73.04271	2045.4095	502	46175	188	73.04271
HIFI032161D#2#classII	532090	0	0	0	NA	NA	NA	192	402742	75.69058	2097.6145	503	46181	192	75.69058
HIFI032164D#1#classII	537026	0	0	0	NA	NA	NA	219	424528	79.05167	1938.484	502	46169	219	79.05167
HIFI032164D#2#classII	522363	0	0	0	NA	NA	NA	212	414344	79.32108	1954.4529	502	46183	212	79.32108
HIFI032167D#1#classII	525817	0	0	0	NA	NA	NA	188	387846	73.76064	2063.0107	503	46179	188	73.76064
HIFI032167D#2#classII	525819	0	0	0	NA	NA	NA	188	387846	73.76036	2063.0107	503	46179	188	73.76036
HIFI032182D#1#classII	556328	0	0	0	NA	NA	NA	233	461552	82.964005	1980.9099	503	46182	233	82.964005
HIFI032182D#2#classII	553752	0	0	0	NA	NA	NA	241	454065	81.997894	1884.0872	503	46178	241	81.997894
HIFI032289D#1#classII	638269	0	0	0	NA	NA	NA	259	515846	80.81953	1991.6833	503	46180	259	80.81953
HIFI032289D#2#classII	638772	0	0	0	NA	NA	NA	264	518946	81.241196	1965.7046	503	46178	264	81.241196
HIFI032292D#1#classII	526477	0	0	0	NA	NA	NA	189	386541	73.4203	2045.1904	502	46177	189	73.4203
HIFI032292D#2#classII	526477	0	0	0	NA	NA	NA	189	386541	73.4203	2045.1904	502	46177	189	73.4203
HIFI032302D#1#classII	466738	0	0	0	NA	NA	NA	164	345648	74.05611	2107.6099	502	46178	164	74.05611
HIFI032302D#2#classII	523616	0	0	0	NA	NA	NA	215	403524	77.06487	1876.8558	501	46189	215	77.06487
HIFI032306D#1#classII	553095	0	0	0	NA	NA	NA	239	449578	81.28405	1881.0795	503	46175	239	81.28405
HIFI032306D#2#classII	639420	0	0	0	NA	NA	NA	262	517596	80.94773	1975.5573	503	46095	262	80.94773
HIFI032335D#1#classII	647637	0	0	0	NA	NA	NA	279	530296	81.88167	1900.7025	503	46167	279	81.88167
HIFI032335D#2#classII	530389	0	0	0	NA	NA	NA	204	413119	77.88982	2025.0931	502	46176	204	77.88982
HIFI032349D#1#classII	638275	0	0	0	NA	NA	NA	255	513801	80.498375	2014.9059	503	46182	255	80.498375
HIFI032349D#2#classII	522380	0	0	0	NA	NA	NA	206	407433	77.99552	1977.8301	502	46180	206	77.99552
HIFI032373D#1#classII	531701	0	0	0	NA	NA	NA	207	419389	78.87685	2026.0338	501	46166	207	78.87685
HIFI032373D#2#classII	556578	0	0	0	NA	NA	NA	234	460969	82.82199	1969.953	503	46164	234	82.82199
HIFI032420D#1#classII	640628	0	0	0	NA	NA	NA	270	525443	82.01999	1946.0852	503	46164	270	82.01999
HIFI032420D#2#classII	638476	0	0	0	NA	NA	NA	253	505778	79.216446	1999.1226	503	46165	253	79.216446
HIFI032422D#1#classII	530700	0	0	0	NA	NA	NA	206	413130	77.84624	2005.4855	502	46182	206	77.84624
HIFI032422D#2#classII	525299	0	0	0	NA	NA	NA	202	404854	77.07115	2004.2278	502	46182	202	77.07115
HIFI032429D#1#classII	555395	0	0	0	NA	NA	NA	221	450139	81.04845	2036.828	501	46182	221	81.04845
HIFI032429D#2#classII	527370	0	0	0	NA	NA	NA	199	399408	75.735825	2007.0753	503	46168	199	75.735825
HIFI032440D#1#classII	532027	0	0	0	NA	NA	NA	192	402653	75.682816	2097.1511	503	46180	192	75.682816
HIFI032440D#2#classII	467419	0	0	0	NA	NA	NA	164	352462	75.406006	2149.1584	503	46181	164	75.406006
HIFI032450D#1#classII	529456	0	0	0	NA	NA	NA	201	402908	76.09849	2004.5175	502	46165	201	76.09849
HIFI032453D#1#classII	524412	0	0	0	NA	NA	NA	219	411673	78.50182	1879.7854	502	46165	219	78.50182
HIFI032453D#2#classII	531088	0	0	0	NA	NA	NA	208	409852	77.17214	1970.4423	501	46178	208	77.17214
HIFI032454D#1#classII	525791	0	0	0	NA	NA	NA	186	386933	73.590645	2080.285	503	46182	186	73.590645
HIFI032454D#2#classII	523631	0	0	0	NA	NA	NA	213	402500	76.8671	1889.6714	501	46189	213	76.8671
HIFI032462D#1#classII	638753	0	0	0	NA	NA	NA	264	518727	81.20933	1964.875	503	46165	264	81.20933
HIFI032462D#2#classII	531690	0	0	0	NA	NA	NA	209	419973	78.98832	2009.4402	501	46180	209	78.98832
HIFI032473D#1#classII	639478	0	0	0	NA	NA	NA	266	525179	82.126205	1974.3572	503	46180	266	82.126205
HIFI032473D#2#classII	554134	0	0	0	NA	NA	NA	233	445734	80.43794	1913.0215	502	46178	233	80.43794
HIFI032487D#1#classII	523640	0	0	0	NA	NA	NA	216	404185	77.18757	1871.2268	502	46189	216	77.18757
HIFI032487D#2#classII	467390	0	0	0	NA	NA	NA	165	350048	74.8942	2121.503	503	46165	165	74.8942
HIFI032501D#1#classII	638325	0	0	0	NA	NA	NA	256	511166	80.07927	1996.7422	503	46166	256	80.07927
HIFI032501D#2#classII	530377	0	0	0	NA	NA	NA	206	415216	78.28696	2015.6117	502	46180	206	78.28696
HIFI032510D#1#classII	553039	0	0	0	NA	NA	NA	236	452472	81.81557	1917.2543	503	46180	236	81.81557
HIFI032510D#2#classII	530190	0	0	0	NA	NA	NA	198	395757	74.64437	1998.7727	501	46179	198	74.64437
HIFI032513D#1#classII	638048	0	0	0	NA	NA	NA	258	513252	80.44097	1989.3489	503	46179	258	80.44097
HIFI032513D#2#classII	553565	0	0	0	NA	NA	NA	225	432228	78.0808	1921.0133	502	46101	225	78.0808
HIFI032529D#1#classII	554743	0	0	0	NA	NA	NA	222	448198	80.79381	2018.9099	502	46177	222	80.79381
HIFI032529D#2#classII	554617	0	0	0	NA	NA	NA	218	443609	79.98475	2034.9037	503	46165	218	79.98475
HIFI032566D#1#classII	523613	0	0	0	NA	NA	NA	216	404179	77.19041	1871.1991	501	46189	216	77.19041
HIFI032566D#2#classII	529452	0	0	0	NA	NA	NA	202	403813	76.26999	1999.0742	502	46165	202	76.26999
HIFI032567D#1#classII	523524	0	0	0	NA	NA	NA	214	411709	78.64186	1923.8738	501	46164	214	78.64186
HIFI032567D#2#classII	648820	0	0	0	NA	NA	NA	280	526967	81.21929	1882.025	503	46113	280	81.21929
HIFI032585D#1#classII	530121	0	0	0	NA	NA	NA	209	417245	78.707504	1996.3876	502	46178	209	78.707504
HIFI032585D#2#classII	554130	0	0	0	NA	NA	NA	233	449196	81.063286	1927.8799	502	46178	233	81.063286
HIFI032586D#1#classII	638489	0	0	0	NA	NA	NA	260	516255	80.855736	1985.5962	503	46182	260	80.855736
HIFI032586D#2#classII	466703	0	0	0	NA	NA	NA	158	340278	72.91104	2153.6582	502	46178	158	72.91104
HIFI032591D#1#classII	639539	0	0	0	NA	NA	NA	267	523361	81.8341	1960.1536	503	46178	267	81.8341
HIFI032591D#2#classII	466771	0	0	0	NA	NA	NA	160	343092	73.50328	2144.325	502	46178	160	73.50328
HIFI032604D#1#classII	639470	0	0	0	NA	NA	NA	266	524869	82.07875	1973.1918	503	46183	266	82.07875
HIFI032604D#2#classII	527122	0	0	0	NA	NA	NA	189	384769	72.9943	2035.8148	503	46180	189	72.9943
HIFI032607D#1#classII	639470	0	0	0	NA	NA	NA	268	526560	82.34319	1964.7761	503	46181	268	82.34319
HIFI032607D#2#classII	531828	0	0	0	NA	NA	NA	202	393516	73.993095	1948.099	501	46184	202	73.993095
HIFI032662D#1#classII	526476	0	0	0	NA	NA	NA	212	417123	79.229256	1967.5613	502	46180	212	79.229256
HIFI032662D#2#classII	466556	0	0	0	NA	NA	NA	162	341179	73.12713	2106.0432	503	46180	162	73.12713
HIFI032668D#1#classII	640663	0	0	0	NA	NA	NA	263	519990	81.16436	1977.1483	503	46117	263	81.16436
HIFI032668D#2#classII	553796	2	3556	0.6421137	1778	668	2888	243	452960	81.791855	1864.033	503	46182	245	82.43397
HIFI032682D#1#classII	527067	0	0	0	NA	NA	NA	197	399049	75.71125	2025.6294	503	46184	197	75.71125
HIFI032682D#2#classII	530141	0	0	0	NA	NA	NA	199	389045	73.38519	1955	503	46191	199	73.38519
HIFI032685D#1#classII	526695	0	0	0	NA	NA	NA	216	419594	79.66546	1942.5648	501	46180	216	79.66546
HIFI032685D#2#classII	468374	0	0	0	NA	NA	NA	176	349659	74.6538	1986.6989	503	46180	176	74.6538
HIFI032692D#1#classII	526319	0	0	0	NA	NA	NA	211	417281	79.282906	1977.6351	502	46173	211	79.282906
HIFI032692D#2#classII	647634	0	0	0	NA	NA	NA	276	525521	81.14475	1904.0616	503	46183	276	81.14475
HIFI032693D#1#classII	526353	0	0	0	NA	NA	NA	209	414345	78.719986	1982.512	502	46181	209	78.719986
HIFI032693D#2#classII	526001	0	0	0	NA	NA	NA	188	389175	73.9875	2070.0798	503	46179	188	73.9875
HIFI032698D#1#classII	530363	0	0	0	NA	NA	NA	206	414767	78.20436	2013.432	502	46180	206	78.20436
HIFI032698D#2#classII	531516	0	0	0	NA	NA	NA	205	415948	78.25691	2029.0146	501	46165	205	78.25691
HIFI032706D#1#classII	466224	0	0	0	NA	NA	NA	166	340331	72.997314	2050.1868	503	46177	166	72.997314
HIFI032706D#2#classII	466556	0	0	0	NA	NA	NA	163	342388	73.38626	2100.5398	503	46181	163	73.38626
HIFI032711D#1#classII	528818	0	0	0	NA	NA	NA	209	407838	77.12257	1951.3779	501	46178	209	77.12257
HIFI032711D#2#classII	525339	0	0	0	NA	NA	NA	184	383220	72.94718	2082.7173	503	46164	184	72.94718
HIFI032731D#1#classII	556336	0	0	0	NA	NA	NA	232	459130	82.527466	1979.0087	503	46182	232	82.527466
HIFI032731D#2#classII	526196	0	0	0	NA	NA	NA	198	400350	76.08382	2021.9697	503	46167	198	76.08382
KOREF1#1#classII	640675	0	0	0	NA	NA	NA	269	525441	82.01366	1953.3123	503	46180	269	82.01366
KOREF1#2#classII	530256	0	0	0	NA	NA	NA	202	393107	74.13532	1946.0742	503	46174	202	74.13532
KOREF2#1#classII	529427	0	0	0	NA	NA	NA	195	390110	73.685326	2000.5641	503	46178	195	73.685326
KOREF2#2#classII	522186	0	0	0	NA	NA	NA	212	413311	79.15015	1949.5802	502	46188	212	79.15015
KPanRef-071#1#classII	466688	0	0	0	NA	NA	NA	162	345477	74.027405	2132.574	502	46178	162	74.027405
KPanRef-071#2#classII	553747	0	0	0	NA	NA	NA	244	456324	82.406586	1870.1803	503	46188	244	82.406586
KPanRef-072#1#classII	647594	0	0	0	NA	NA	NA	279	530719	81.95243	1902.2186	503	46176	279	81.95243
KPanRef-072#2#classII	640699	0	0	0	NA	NA	NA	268	524731	81.89977	1957.9515	503	46179	268	81.89977
KPanRef-073#1#classII	542414	0	0	0	NA	NA	NA	208	417635	76.99561	2007.8606	504	46165	208	76.99561
KPanRef-073#2#classII	522387	0	0	0	NA	NA	NA	215	415621	79.5619	1933.121	502	46179	215	79.5619
KPanRef-074#1#classII	528378	0	0	0	NA	NA	NA	202	399656	75.638275	1978.495	501	46096	202	75.638275
KPanRef-074#2#classII	638265	0	0	0	NA	NA	NA	259	515650	80.78933	1990.9266	503	46182	259	80.78933
KPanRef-075#1#classII	553070	0	0	0	NA	NA	NA	240	455689	82.39265	1898.7042	503	46178	240	82.39265
KPanRef-075#2#classII	467944	0	0	0	NA	NA	NA	168	349283	74.64205	2079.0654	503	46179	168	74.64205
KPanRef-076#1#classII	552840	0	0	0	NA	NA	NA	228	440669	79.710045	1932.7588	502	46179	228	79.710045
KPanRef-076#2#classII	637607	0	0	0	NA	NA	NA	259	516756	81.046165	1995.1969	503	46176	259	81.046165
KPanRef-076-M#1#classII	647581	0	0	0	NA	NA	NA	280	530325	81.89323	1894.0178	503	46175	280	81.89323
KPanRef-076-M#2#classII	637274	0	0	0	NA	NA	NA	260	517171	81.15363	1989.1193	503	46180	260	81.15363
KPanRef-076-P#1#classII	466759	0	0	0	NA	NA	NA	164	345888	74.104195	2109.0732	502	46178	164	74.104195
KPanRef-076-P#2#classII	552846	0	0	0	NA	NA	NA	229	439927	79.57497	1921.0786	502	46179	229	79.57497
KPanRef-077#1#classII	640687	0	0	0	NA	NA	NA	269	524287	81.832	1949.0223	503	46166	269	81.832
KPanRef-077#2#classII	466757	0	0	0	NA	NA	NA	163	344321	73.76879	2112.3987	502	46178	163	73.76879
KPanRef-078#1#classII	531691	0	0	0	NA	NA	NA	209	420541	79.095	2012.1578	501	46175	209	79.095
KPanRef-078#2#classII	523594	0	0	0	NA	NA	NA	216	404154	77.18843	1871.0834	501	46182	216	77.18843
KPanRef-079#1#classII	647487	0	0	0	NA	NA	NA	278	529936	81.84504	1906.2446	503	46177	278	81.84504
KPanRef-079#2#classII	530821	0	0	0	NA	NA	NA	203	408806	77.01391	2013.8226	503	46166	203	77.01391
KPanRef-080#1#classII	638786	0	0	0	NA	NA	NA	264	519174	81.27511	1966.5682	503	46180	264	81.27511
KPanRef-080#2#classII	640667	0	0	0	NA	NA	NA	270	525396	82.00766	1945.9111	503	46164	270	82.00766
NA18505#1#classII	524951	0	0	0	NA	NA	NA	225	413387	78.747734	1837.2755	501	46180	225	78.747734
NA18505#2#classII	553804	0	0	0	NA	NA	NA	242	455555	82.25925	1882.4586	503	46105	242	82.25925
NA18508#1#classII	531017	0	0	0	NA	NA	NA	204	395541	74.48744	1938.9265	503	46184	204	74.48744
NA18508#2#classII	540514	0	0	0	NA	NA	NA	221	411620	76.15344	1862.5339	503	46183	221	76.15344
NA18522#1#classII	529680	0	0	0	NA	NA	NA	203	406431	76.73142	2002.1232	502	46183	203	76.73142
NA18522#2#classII	533595	0	0	0	NA	NA	NA	210	403150	75.55356	1919.762	501	46181	210	75.55356
NA18565#1#classII	640643	0	0	0	NA	NA	NA	270	524884	81.93081	1944.0148	503	46181	270	81.93081
NA18565#2#classII	526010	0	0	0	NA	NA	NA	188	389033	73.95924	2069.3245	503	46180	188	73.95924
NA18570#1#classII	522122	0	0	0	NA	NA	NA	212	412685	79.039955	1946.6273	502	46166	212	79.039955
NA18570#2#classII	638796	0	0	0	NA	NA	NA	264	519146	81.26945	1966.4622	503	46176	264	81.26945
NA18608#1#classII	528816	0	0	0	NA	NA	NA	208	406968	76.958336	1956.5769	501	46180	208	76.958336
NA18608#2#classII	529588	0	0	0	NA	NA	NA	214	410529	77.51856	1918.3599	501	46179	214	77.51856
NA18620#1#classII	525283	0	0	0	NA	NA	NA	188	385572	73.40272	2050.9148	502	46179	188	73.40272
NA18620#2#classII	525282	0	0	0	NA	NA	NA	203	405749	77.24403	1998.7635	502	46169	203	77.24403
NA18747#1#classII	529584	0	0	0	NA	NA	NA	211	407339	76.91679	1930.5166	502	46177	211	76.91679
NA18747#2#classII	553005	0	0	0	NA	NA	NA	241	455464	82.36164	1889.8921	503	46179	241	82.36164
NA18879#1#classII	533566	0	0	0	NA	NA	NA	206	407876	76.443405	1979.9806	503	46187	206	76.443405
NA18879#2#classII	532811	0	0	0	NA	NA	NA	211	402881	75.61424	1909.3887	501	46180	211	75.61424
NA18906#1#classII	529817	0	0	0	NA	NA	NA	215	413155	77.9807	1921.6511	503	46180	215	77.9807
NA18906#2#classII	532127	0	0	0	NA	NA	NA	207	397132	74.63106	1918.5121	501	46182	207	74.63106
NA18940#1#classII	554055	0	0	0	NA	NA	NA	221	443422	80.03213	2006.4344	503	46180	221	80.03213
