hap_id	donor	cohort	source_type	panel_flags	c4_annotated_copies	cyp21_like_loci	tnx_like_loci	whr1_like_loci	same_contig	span_contig	span_start0	span_end0	balanced_module_components	screen_signature	signature_id	classification	limitation
HG01952#2	HG01952	HPRC-Rest	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG01952#2#CM087999.1:28438146-33670995	3546769	3678541	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4AS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-b8ca310d36f0396c	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG01960#1	HG01960	HPRC-Rest	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG01960#1#JBHIHM010000013.1:28299727-33553963	3559855	3691639	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-08dc6d3cd5c804e4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG01960#2	HG01960	HPRC-Rest	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG01960#2#JBHIHN010000011.1:28515170-33644789	3552594	3684388	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-08dc6d3cd5c804e4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG01969#1	HG01969	HPRC-Rest	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG01969#1#CM088687.1:28438493-33684979	3550845	3682653	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-08dc6d3cd5c804e4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG01969#2	HG01969	HPRC-Rest	assembly_or_reference		2	2	2	2	1	HG01969#2#CM088699.1:28424697-33581502	3555126	3686929	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-08dc6d3cd5c804e4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG01975#1	HG01975	HPRC-Rest	assembly_or_reference	DR_DQ_candidate_novel_annotation	3	3	3	3	1	HG01975#1#JBJUVS010000062.1:28446168-33791199	3620554	3791442	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-750ba4509b0b305f	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG01975#2	HG01975	HPRC-Rest	assembly_or_reference	DR_DQ_candidate_novel_annotation;downstream_graph_clipping_loss	2	2	2	2	1	HG01975#2#CM099812.1:28391516-33619784	3547046	3672491	1	WHR1-like+|C4AS+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-3d82c5351ccfb664	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG01978#1	HG01978	HPRC-Rest	assembly_or_reference		2	2	2	2	1	HG01978#1#CM089247.1:28385214-33602216	3619729	3751520	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-08dc6d3cd5c804e4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG01978#2	HG01978	HPRC-Rest	assembly_or_reference	DR_DQ_candidate_novel_annotation	3	3	3	3	1	HG01978#2#CM089273.1:28354032-33630223	3549466	3720303	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-750ba4509b0b305f	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG01981#1	HG01981	HPRC-Rest	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG01981#1#JBHDRV010000009.1:28410315-33655950	3552965	3691119	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-c91a117646c15232	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG01981#2	HG01981	HPRC-Rest	assembly_or_reference	DR_DQ_candidate_novel_annotation	3	3	3	3	1	HG01981#2#JBHDRW010000010.1:28410780-33681446	3545408	3716292	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-750ba4509b0b305f	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG01993#1	HG01993	HPRC-Rest	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG01993#1#JBHDSL010000047.1:28406826-33615858	3611774	3743577	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-08dc6d3cd5c804e4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG01993#2	HG01993	HPRC-Rest	assembly_or_reference		2	2	2	2	1	HG01993#2#JBHDSM010000062.1:28431770-33594269	3560904	3692707	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-08dc6d3cd5c804e4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02004#1	HG02004	HPRC-Rest	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG02004#1#JBHDRT010000003.1:28425702-33656904	3549735	3675175	1	WHR1-like+|C4AS+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-3d82c5351ccfb664	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02004#2	HG02004	HPRC-Rest	assembly_or_reference	DR_DQ_candidate_novel_annotation	3	3	3	3	1	HG02004#2#JBHDRU010000054.1:28359862-33635123	3548027	3718907	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-750ba4509b0b305f	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02015#1	HG02015	HPRC-EastAsian	assembly_or_reference		3	3	3	3	1	HG02015#1#CM085893.1:28402846-33586394	3554005	3712167	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4AS+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-43779c00c9747168	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02015#2	HG02015	HPRC-EastAsian	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG02015#2#CM085899.1:28383446-33717143	3623873	3762036	1	WHR1-like+|C4AL+|CYP21A2-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-4c34865fcf2a50f9	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02027#1	HG02027	HPRC-EastAsian	assembly_or_reference	DR_DQ_candidate_novel_annotation	3	3	3	3	1	HG02027#1#JBHDTX010000002.1:1623368-6786940	3557755	3722288	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-f3965b9e0fe6783a	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02027#2	HG02027	HPRC-EastAsian	assembly_or_reference	DR_DQ_candidate_novel_annotation;downstream_graph_clipping_loss	2	2	2	2	1	HG02027#2#JBHDTY010000008.1:1623003-6755193	3554543	3686311	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-08dc6d3cd5c804e4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02040#1	HG02040	HPRC-EastAsian	assembly_or_reference		2	2	2	2	1	HG02040#1#CM087376.1:28407779-33615862	3618871	3750653	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-08dc6d3cd5c804e4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02040#2	HG02040	HPRC-EastAsian	assembly_or_reference	DR_DQ_candidate_novel_annotation;downstream_graph_clipping_loss	2	2	2	2	1	HG02040#2#CM087404.1:28421077-33661960	3553297	3685097	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-08dc6d3cd5c804e4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02055#1	HG02055	HPRC-Rest	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG02055#1#JAHEPK020000065.1:28422841-33550861	3618701	3750494	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-08dc6d3cd5c804e4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02055#2	HG02055	HPRC-Rest	assembly_or_reference	DR_DQ_candidate_novel_annotation	1	1	1	1	1	HG02055#2#JAHEPJ020000062.1:28297948-33346879	3504905	3610303	1	WHR1-like+|C4AL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-80c1563b57f16898	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02056#1	HG02056	HPRC-EastAsian	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG02056#1#JBHDVC010000047.1:28415946-33618338	3621047	3759206	1	WHR1-like+|C4AL+|CYP21A2-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-4c34865fcf2a50f9	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02056#2	HG02056	HPRC-EastAsian	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG02056#2#JBHDVD010000050.1:28353386-33462193	3527996	3666166	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-c91a117646c15232	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02071#1	HG02071	HPRC-EastAsian	assembly_or_reference	DR_DQ_candidate_novel_annotation;downstream_graph_clipping_loss	2	2	2	2	1	HG02071#1#CM088260.1:28423541-33557862	3553479	3691628	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-c91a117646c15232	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02071#2	HG02071	HPRC-EastAsian	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG02071#2#CM088283.1:28360932-33442152	3507010	3638795	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-08dc6d3cd5c804e4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02074#1	HG02074	HPRC-EastAsian	assembly_or_reference		2	2	2	2	1	HG02074#1#JBHIGK010000076.1:28344776-33475569	3552159	3683956	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-08dc6d3cd5c804e4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02074#2	HG02074	HPRC-EastAsian	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG02074#2#JBHIGL010000008.1:28378730-33632643	3559932	3698111	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-c91a117646c15232	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02080#1	HG02080	HPRC-EastAsian	assembly_or_reference		1	1	1	1	1	HG02080#1#CM092061.1:28425542-33593192	3623313	3728710	1	WHR1-like+|C4AL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-80c1563b57f16898	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02080#2	HG02080	HPRC-EastAsian	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG02080#2#CM092047.1:28460929-33706794	3550711	3682467	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-08dc6d3cd5c804e4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02083#1	HG02083	HPRC-EastAsian	assembly_or_reference	DR_DQ_candidate_novel_annotation;downstream_graph_clipping_loss	3	3	3	3	1	HG02083#1#JBHDTV010000048.1:28371858-33537852	3553644	3724516	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-750ba4509b0b305f	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02083#2	HG02083	HPRC-EastAsian	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG02083#2#CM086965.1:28472527-33711689	3550723	3682516	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-08dc6d3cd5c804e4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02109#1	HG02109	HPRC-Rest	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG02109#1#CM092161.1:28294553-33395631	3502660	3634458	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-08dc6d3cd5c804e4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02109#2	HG02109	HPRC-Rest	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG02109#2#CM092147.1:28420239-33580817	3633455	3765243	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-08dc6d3cd5c804e4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02129#1	HG02129	HPRC-EastAsian	assembly_or_reference	downstream_graph_clipping_loss	2	2	2	2	1	HG02129#1#CM085849.1:28352001-33545967	3616314	3748111	1	WHR1-like+|C4BL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A1P-like+|TNXB-like-	RCCX-SCREEN-f110abe9b93df8a5	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02129#2	HG02129	HPRC-EastAsian	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG02129#2#CM085860.1:28366606-33493917	3502531	3640690	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-c91a117646c15232	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02132#1	HG02132	HPRC-EastAsian	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG02132#1#CM086897.1:28372349-33619790	3552192	3690372	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-c91a117646c15232	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02132#2	HG02132	HPRC-EastAsian	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG02132#2#CM086908.1:28367828-33688656	3618842	3750607	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-08dc6d3cd5c804e4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02135#1	HG02135	HPRC-EastAsian	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG02135#1#CM088309.1:28410959-33520604	3508002	3639795	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-08dc6d3cd5c804e4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02135#2	HG02135	HPRC-EastAsian	assembly_or_reference		2	2	2	2	1	HG02135#2#CM088319.1:28377765-33615244	3549795	3681589	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-08dc6d3cd5c804e4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02145#1	HG02145	HPRC-Rest	assembly_or_reference		2	2	2	2	1	HG02145#1#CM099672.1:28303733-33469758	3561076	3699238	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-c91a117646c15232	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02145#2	HG02145	HPRC-Rest	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG02145#2#CM099657.1:28376784-33593129	3617812	3749617	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-08dc6d3cd5c804e4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02148#1	HG02148	HPRC-Rest	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG02148#1#JAHAMG020000062.1:28379085-33505835	3553695	3679127	1	WHR1-like+|C4AS+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-3d82c5351ccfb664	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02148#2	HG02148	HPRC-Rest	assembly_or_reference		1	1	1	1	1	HG02148#2#JAHAMF020000005.1:28427628-33536175	3560969	3666364	1	WHR1-like+|C4AL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-80c1563b57f16898	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02155#1	HG02155	HPRC-EastAsian	assembly_or_reference	DR_DQ_candidate_novel_annotation;downstream_graph_clipping_loss	1	1	1	1	1	HG02155#1#JBIECB010000043.1:28423029-33561929	3564159	3669557	1	WHR1-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-7b1f207074474ef0	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02155#2	HG02155	HPRC-EastAsian	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG02155#2#CM091924.1:28362729-33591130	3619300	3757447	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4AL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-109f6cb2c3c027c8	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02165#1	HG02165	HPRC-EastAsian	assembly_or_reference		2	2	2	2	1	HG02165#1#CM087444.1:28424290-33561901	3547454	3685606	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-c91a117646c15232	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02165#2	HG02165	HPRC-EastAsian	assembly_or_reference		2	2	2	2	1	HG02165#2#JBHDWX010000045.1:28431174-33561779	3551997	3683794	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-08dc6d3cd5c804e4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02178#1	HG02178	HPRC-EastAsian	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG02178#1#CM089925.1:28399752-33646110	3558779	3690580	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-08dc6d3cd5c804e4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02178#2	HG02178	HPRC-EastAsian	assembly_or_reference	DR_DQ_candidate_novel_annotation	3	3	3	3	1	HG02178#2#CM089938.1:28370915-33566694	3561523	3726151	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4AS+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-e92677dc4f8b8aff	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02257#1	HG02257	HPRC-Rest	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG02257#1#CM089221.1:28424772-33551966	3549988	3688130	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4AL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-109f6cb2c3c027c8	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02257#2	HG02257	HPRC-Rest	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG02257#2#CM089260.1:28471160-33602067	3547536	3679327	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-08dc6d3cd5c804e4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02258#1	HG02258	HPRC-Rest	assembly_or_reference		2	2	2	2	1	HG02258#1#CM085826.1:28431405-33595237	3558988	3690780	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-08dc6d3cd5c804e4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02258#2	HG02258	HPRC-Rest	assembly_or_reference	DR_DQ_candidate_novel_annotation	1	1	1	1	1	HG02258#2#CM085837.1:28401788-33525465	3554562	3653634	1	WHR1-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-a002f576cdda62b4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02273#1	HG02273	HPRC-Rest	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG02273#1#JBHDVQ010000050.1:28386453-33633535	3554274	3692421	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-c91a117646c15232	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02273#2	HG02273	HPRC-Rest	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG02273#2#CM087034.1:28375859-33514787	3554793	3692940	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-c91a117646c15232	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02280#1	HG02280	HPRC-Rest	assembly_or_reference	DR_DQ_candidate_novel_annotation	2	2	2	2	1	HG02280#1#JBHDRR010000050.1:28462941-33680751	3622784	3754549	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-08dc6d3cd5c804e4	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02280#2	HG02280	HPRC-Rest	assembly_or_reference		2	2	2	2	1	HG02280#2#JBHDRS010000063.1:28438025-33473174	3454159	3522495	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BS+|CYP21A2-like+|TNXA-like-	RCCX-SCREEN-6493188f61335fa0	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
HG02293#1	HG02293	HPRC-Rest	assembly_or_reference	DR_DQ_candidate_novel_annotation;downstream_graph_clipping_loss	2	2	2	2	1	HG02293#1#CM086249.1:28376541-33683950	3613017	3751184	1	WHR1-like+|C4AL+|CYP21A1P-like+|TNXA-like-|WHR1B-like+|C4BL+|CYP21A2-like+|TNXB-like-	RCCX-SCREEN-c91a117646c15232	component_counts_consistent	Nearest prototype is not functional gene identity; no fusion or gene-conversion classification; C4 annotation inherited
